	term	tag	value	pstv	ngtv	neut	dunno	pstvNgtvDisagreementRatio	Female	Male	F - M
0	абажур	NEUT	0.08	0.185	0.037	0.58	0.198	0.0	0.668	0.566	0.102
1	аббатство	NEUT	0.1	0.192	0.038	0.578	0.192	0.0	0.688	0.504	0.184
2	аббревиатура	NEUT	0.08	0.196	0.0	0.63	0.174	0.0	0.469	0.657	-0.188
3	абзац	NEUT	0.0	0.137	0.0	0.706	0.157	0.0	0.384	0.682	-0.298
4	абиссинец	NEUT	0.28	0.151	0.113	0.245	0.491	0.19	0.557	0.722	-0.165
5	абитуриент	NEUT	0.23	0.235	0.049	0.5	0.216	0.0	0.415	0.68	-0.265
6	абитуриентка	NEUT	0.34	0.294	0.029	0.461	0.216	0.0	0.566	0.487	0.079
7	абонемент	NEUT	0.18	0.232	0.056	0.56	0.152	0.0	0.597	0.659	-0.062
8	абонементный	NEUT	0.19	0.21	0.07	0.5	0.22	0.0	0.552	0.528	0.024
9	абонент	NEUT	0.0	0.075	0.075	0.675	0.175	0.0	0.372	0.612	-0.24
10	абонентный	NEUT	0.0	0.073	0.0	0.61	0.317	0.0	0.391	0.581	-0.19
11	абонентский	NEUT	0.0	0.071	0.0	0.822	0.107	0.0	0.361	0.604	-0.243
12	абордаж	NGTV	-0.45	0.07	0.33	0.38	0.22	0.0	0.465	0.74	-0.275
13	абордажный	NEUT	-0.19	0.137	0.171	0.384	0.308	0.11	0.486	0.697	-0.211
14	абориген	NEUT	-0.02	0.063	0.167	0.624	0.146	0.0	0.475	0.657	-0.182
15	аборигенка	NEUT	0.02	0.144	0.106	0.538	0.212	0.0	0.615	0.46	0.155
16	аборигенный	NEUT	-0.08	0.079	0.167	0.526	0.228	0.0	0.471	0.546	-0.075
17	аборт	NGTV	-0.68	0.067	0.515	0.314	0.104	0.0	0.631	0.519	0.112
18	абразив	NEUT	0.0	0.067	0.067	0.466	0.4	0.0	0.388	0.67	-0.282
19	абракадабра	NEUT	-0.17	0.194	0.208	0.48	0.118	0.17	0.505	0.713	-0.208
20	абрикос	PSTV	0.57	0.5	0.038	0.405	0.057	0.0	0.652	0.637	0.015
21	абрикосовый	NEUT	0.51	0.435	0.035	0.426	0.104	0.0	0.664	0.54	0.124
22	абсолют	NEUT	0.45	0.353	0.06	0.415	0.172	0.0	0.443	0.627	-0.184
