	term	tag	Female	Male	F - M
0	абажур	NEUT	0.668	0.566	0.102
1	аббатство	NEUT	0.688	0.504	0.184
21	абрикосовый	NEUT	0.664	0.54	0.124
51	авантюристка	NGTV	0.677	0.386	0.291
91	авиаперелёт	NEUT	0.765	0.585	0.18
95	авиарейс	NEUT	0.691	0.584	0.107
292	ажурный	NEUT	0.679	0.585	0.094
306	ай-кью	NEUT	0.735	0.55	0.185
310	айсберг	NEUT	0.677	0.506	0.171
327	аквариум	NEUT	0.69	0.472	0.218
390	акушерка	NEUT	0.66	0.534	0.126
454	альпинистка	NEUT	0.766	0.314	0.452
534	ананасовый	NEUT	0.664	0.524	0.14
598	антибиотик	NEUT	0.654	0.555	0.099
707	аптекарша	NEUT	0.729	0.566	0.163
815	архипелаг	NEUT	0.662	0.546	0.116
859	астролог	NEUT	0.687	0.446	0.241
860	астрологический	NEUT	0.716	0.439	0.277
861	астрология	NEUT	0.66	0.476	0.184
883	атеистка	NEUT	0.656	0.431	0.225
904	аттракцион	PSTV	0.65	0.519	0.131
1013	байдарка	NEUT	0.662	0.542	0.12
1036	бал-маскарад	PSTV	0.702	0.539	0.163
1067	балкончик	NEUT	0.717	0.581	0.136
1087	бамбук	NEUT	0.677	0.528	0.149
1088	бамбуковый	NEUT	0.68	0.504	0.176
1094	банан	NEUT	0.668	0.574	0.094
1120	банник	NEUT	0.719	0.538	0.181
1124	бантик	PSTV	0.745	0.561	0.184
1133	барабанщица	NEUT	0.672	0.494	0.178
1146	барашек	PSTV	0.697	0.477	0.22
1148	барбекю	NEUT	0.676	0.506	0.17
1164	барометр	NEUT	0.67	0.482	0.188
1181	бархатный	PSTV	0.658	0.558	0.1
1215	батискаф	NEUT	0.66	0.548	0.112
1220	батут	NEUT	0.701	0.423	0.278
1243	баюкать	PSTV	0.758	0.51	0.248
1263	бегунья	NEUT	0.652	0.508	0.144
1320	безветрие	NEUT	0.659	0.484	0.175
1339	безвредный	PSTV	0.685	0.575	0.11
1380	бездождье	NGTV	0.654	0.56	0.094
1441	безмятежность	NEUT	0.752	0.514	0.238
1459	безоблачность	PSTV	0.805	0.537	0.268
1460	безоблачный	NEUT	0.743	0.514	0.229
1590	белочка	PSTV	0.679	0.523	0.156
1598	бельишко	NEUT	0.689	0.553	0.136
1600	бельчонок	PSTV	0.703	0.592	0.111
1650	беседка	NEUT	0.722	0.448	0.274
1809	бессонница	NGTV	0.691	0.526	0.165
1900	бибикать	NEUT	0.706	0.512	0.194
