	term	tag	Female	Male	F - M
56	аварийность	NGTV	0.419	0.807	-0.388
78	авиаконструктор	NEUT	0.333	0.764	-0.431
86	авианаводчик	NEUT	0.326	0.784	-0.458
140	автозавод	NEUT	0.372	0.767	-0.395
189	автопром	NEUT	0.281	0.79	-0.509
358	актив	PSTV	0.352	0.781	-0.429
380	актёр	NEUT	0.392	0.776	-0.384
381	актёришка	NGTV	0.332	0.756	-0.424
397	акциз	NEUT	0.305	0.789	-0.484
493	аморальность	NGTV	0.405	0.766	-0.361
607	антигуманность	NGTV	0.389	0.821	-0.432
611	антиквар	NEUT	0.366	0.752	-0.386
614	антикоммунизм	NGTV	0.355	0.753	-0.398
629	антипатриотизм	NGTV	0.373	0.778	-0.405
642	антисталинизм	NEUT	0.334	0.786	-0.452
831	асоциальность	NGTV	0.353	0.762	-0.409
873	асфальтоукладчик	NEUT	0.293	0.754	-0.461
1192	бас-гитарист	NEUT	0.41	0.799	-0.389
1308	безбородый	NEUT	0.362	0.767	-0.405
1359	бездарность	NGTV	0.343	0.783	-0.44
1506	безрезультатность	NGTV	0.318	0.809	-0.491
1531	безуспешность	NGTV	0.335	0.753	-0.418
1547	безынициативность	NGTV	0.38	0.784	-0.404
1569	белобородый	NEUT	0.366	0.751	-0.385
1605	бенефициар	NEUT	0.306	0.755	-0.449
1606	бензин	NEUT	0.404	0.764	-0.36
1612	бензозаправщик	NEUT	0.344	0.767	-0.423
1691	бесперспективность	NGTV	0.333	0.778	-0.445
1716	бесполезность	NGTV	0.337	0.785	-0.448
1854	бесхребетность	NGTV	0.42	0.785	-0.365
2201	блудный	NGTV	0.39	0.762	-0.372
2257	богомольный	NEUT	0.391	0.753	-0.362
2368	большевик	NEUT	0.335	0.791	-0.456
2415	бородавка	NGTV	0.397	0.767	-0.37
2418	бородатый	NEUT	0.351	0.767	-0.416
2490	братан	PSTV	0.351	0.791	-0.44
2493	брательник	PSTV	0.416	0.789	-0.373
2494	братец	PSTV	0.424	0.784	-0.36
2506	браться	NEUT	0.398	0.757	-0.359
2516	брезгливость	NGTV	0.377	0.805	-0.428
2747	бумагомарание	NGTV	0.275	0.761	-0.486
2777	буржуазность	NGTV	0.363	0.781	-0.418
2942	валить	NGTV	0.386	0.758	-0.372
3081	вдаваться	NEUT	0.39	0.769	-0.379
3646	взяткодательство	NGTV	0.3	0.757	-0.457
3699	видный	PSTV	0.385	0.751	-0.366
3750	виноватость	NGTV	0.41	0.789	-0.379
3754	виновность	NGTV	0.41	0.768	-0.358
3778	виолончелист	NEUT	0.381	0.763	-0.382
3927	влачить	NGTV	0.372	0.755	-0.383
4031	вникать	PSTV	0.358	0.782	-0.424
4032	вникнуть	PSTV	0.35	0.78	-0.43
4235	воздавать	NEUT	0.423	0.779	-0.356
4287	возместить	PSTV	0.411	0.772	-0.361
4289	возмещать	PSTV	0.32	0.785	-0.465
4440	вольноопределяющийся	NEUT	0.328	0.778	-0.45
4587	восполниться	PSTV	0.377	0.759	-0.382
4588	восполнять	PSTV	0.351	0.758	-0.407
4651	востребованность	PSTV	0.349	0.774	-0.425
4973	всесторонность	PSTV	0.407	0.777	-0.37
5161	вторичность	NEUT	0.359	0.801	-0.442
5224	вшивость	NGTV	0.431	0.793	-0.362
5254	выборность	NEUT	0.383	0.774	-0.391
5256	выборщик	NEUT	0.266	0.79	-0.524
5276	выбывание	NGTV	0.379	0.752	-0.373
5882	выручка	PSTV	0.299	0.795	-0.496
6073	вытекание	NEUT	0.437	0.799	-0.362
6172	вычёркивание	NGTV	0.366	0.764	-0.398
6458	геологоразведка	NEUT	0.359	0.771	-0.412
6502	гетеросексуал	NEUT	0.372	0.764	-0.392
6571	гиперинфляция	NGTV	0.39	0.765	-0.375
6679	глубокоуважаемый	PSTV	0.414	0.783	-0.369
6732	гнилость	NGTV	0.433	0.811	-0.378
6971	горючесть	NEUT	0.454	0.828	-0.374
7050	грабительство	NGTV	0.362	0.752	-0.39
7657	деградация	NGTV	0.395	0.769	-0.374
7659	дегтярный	NEUT	0.38	0.76	-0.38
7771	делёж	NGTV	0.379	0.76	-0.381
7784	демократ	NEUT	0.305	0.761	-0.456
7831	депутатский	NEUT	0.285	0.787	-0.502
7957	дефицит	NGTV	0.304	0.78	-0.476
7958	дефицитность	NGTV	0.351	0.799	-0.448
8044	дивиденд	NEUT	0.422	0.788	-0.366
8045	дивидендный	NEUT	0.36	0.756	-0.396
8171	диссонанс	NGTV	0.412	0.794	-0.382
8202	длиннобородый	NEUT	0.376	0.767	-0.391
8252	доблестный	PSTV	0.409	0.768	-0.359
8287	добросовестность	PSTV	0.389	0.823	-0.434
8288	добросовестный	PSTV	0.399	0.769	-0.37
8402	дожимать	NEUT	0.318	0.764	-0.446
8442	дойти	NEUT	0.392	0.76	-0.368
8735	доскональность	PSTV	0.436	0.796	-0.36
8746	досмотр	NGTV	0.311	0.761	-0.45
8810	дотация	NEUT	0.375	0.764	-0.389
8838	доходность	PSTV	0.359	0.787	-0.428
8865	драгметалл	NEUT	0.381	0.776	-0.395
8970	друган	PSTV	0.392	0.758	-0.366
8988	дружище	PSTV	0.364	0.797	-0.433
9370	железоделательный	NEUT	0.351	0.763	-0.412
9401	женатый	NEUT	0.391	0.753	-0.362
9861	завотделом	NEUT	0.231	0.778	-0.547
9915	заглаживать	PSTV	0.399	0.761	-0.362
10084	задерживать	NGTV	0.398	0.754	-0.356
10103	задолженность	NGTV	0.387	0.763	-0.376
10214	зазорный	NGTV	0.345	0.797	-0.452
10371	законность	PSTV	0.354	0.753	-0.399
10400	закоренелость	NEUT	0.399	0.761	-0.362
10419	закрепиться	NEUT	0.361	0.762	-0.401
10620	замешкаться	NGTV	0.376	0.779	-0.403
10658	зампрокурора	NEUT	0.274	0.754	-0.48
10923	заправщик	NEUT	0.323	0.761	-0.438
10996	заработный	PSTV	0.404	0.769	-0.365
11100	засевать	NEUT	0.396	0.754	-0.358
11212	застой	NGTV	0.407	0.778	-0.371
11411	затруднить	NGTV	0.385	0.762	-0.377
11432	затушёвывание	NEUT	0.393	0.792	-0.399
11434	затушёвываться	NGTV	0.385	0.784	-0.399
11581	зачинщик	NGTV	0.371	0.758	-0.387
11597	зачищать	PSTV	0.334	0.757	-0.423
11683	заёмный	NEUT	0.396	0.771	-0.375
11809	землепользование	NEUT	0.386	0.762	-0.376
11815	землеустройство	NEUT	0.359	0.782	-0.423
11820	земляк	PSTV	0.337	0.792	-0.455
11839	зерно	NEUT	0.404	0.768	-0.364
11973	значиться	NEUT	0.379	0.768	-0.389
12131	идейность	NEUT	0.34	0.795	-0.455
12194	избрание	NEUT	0.456	0.813	-0.357
12235	извинение	PSTV	0.368	0.756	-0.388
12265	извращённость	NGTV	0.424	0.781	-0.357
12288	изготовитель	NEUT	0.38	0.758	-0.378
12313	издержать	NGTV	0.381	0.765	-0.384
12314	издержка	NGTV	0.429	0.823	-0.394
12434	износ	NGTV	0.439	0.816	-0.377
12496	израсходование	NGTV	0.427	0.798	-0.371
12538	изъян	NGTV	0.342	0.827	-0.485
12648	импотентность	NGTV	0.438	0.795	-0.357
12734	инициатор	NEUT	0.375	0.762	-0.387
12737	инкассатор	NEUT	0.228	0.761	-0.533
12883	инфляция	NGTV	0.386	0.764	-0.378
13143	истовость	NEUT	0.415	0.771	-0.356
13225	исчерпание	NGTV	0.47	0.837	-0.367
13226	исчерпанность	NGTV	0.441	0.801	-0.36
13229	исчерпывать	NGTV	0.343	0.752	-0.409
13230	исчерпываться	NGTV	0.354	0.778	-0.424
